District,College_Name,Courses_Offered,Seats,Fees_Per_Year,Hostel,Infrastructure,Latitude,Longitude,Email,Phone,Website
Jammu,Indian Institute of Technology Jammu (IIT Jammu),B.Tech|M.Tech|M.Sc|PhD,1288,₹2,00,000,Yes,Academic buildings|hostels|sports|library|labs,32.80,74.89,registrar@iitjammu.ac.in,0191-2570633,https://www.iitjammu.ac.in/
Jammu,Government Degree College Marh,BA|B.Sc|B.Com,600-700,₹7,000-₹12,000,No,Academic buildings|subject labs|library|sports ground,32.76,74.69,gdcmarh@gmail.com,9419120719,https://gdcmarh.in
Jammu,Government Degree College Paloura,BA|B.Sc|B.Com,NA,₹7,000-₹12,000,NA,NA,32.78,74.82,NA,NA,NA
Ramban,Govt Degree College Ramban,BA|B.Sc|B.Com,1000,₹18,000,Yes,Hostel|Smart Classrooms|Labs|Library,33.2332,75.2383,principalgdcramban@gmail.com,9419167464,https://gdcramban.com
Ramban,Govt Degree College Banihal,BA|B.Sc|B.Com,500,₹18,000,Yes,Hostel|Labs|Library,33.4301,75.1953,principalgdcbanihal@gmail.com,01998-255906,http://www.gdcbanihal.co.in
Ramban,Govt Degree College Gool,BA|B.Sc,400,₹7,000,No,Library|Labs|Classrooms,33.1346,74.8107,principalgdcgool@gmail.com,NA,NA
Udhampur,Government Degree College (Boys) Udhampur,BA|B.Sc|B.Com|BCA|BBA|PG Chemistry|PG English|PG Hindi,130,₹6,170-₹15,410,Yes (Boys),5.5 acres|Central Library|Cricket Ground|WiFi|CCTV,32.9165,75.1326,pgcollege_udh@yahoo.co.in,01992-270239,www.gdcudhampur.in
Udhampur,Government Degree College for Women Udhampur,BA|B.Sc (Medical|Non-Medical|Biotechnology)|B.Com|BCA|BBA,115,₹6,170-₹21,960,Yes (Girls),4.2 acres|Central Library|Sports Courts|WiFi|CCTV,32.9165,75.1326,NA,01992-270681,NA
Udhampur,Government Degree College Ramnagar,BA|B.Sc,105,₹6,170-₹6,660,No,3.8 acres|Library|Sports Ground|Partial WiFi,32.8073,75.3112,NA,01990-227031,NA
Udhampur,Government Medical College Udhampur,MBBS,100,₹42,188,Yes (Boys & Girls),12.5 acres|Medical Library|Indoor Sports|WiFi|Ambulance,32.9165,75.1326,gmcudhampur@gmail.com,01992-358062,gmcudhampur.in
Udhampur,Government Nursing College Udhampur,B.Sc Nursing|Diploma in Nursing,115,NA,Yes,6.8 acres|Nursing Library|Sports Area|WiFi|CCTV,32.9165,75.1326,gncudhampur@co.in,9419102535,gncudhampur.co.in
Udhampur,Government Polytechnic Udhampur,Diploma in Civil Engineering|Diploma in Automobile Engineering|Diploma in Computer Engineering,210,₹6,690,Yes (Boys),8.2 acres|Technical Library|Workshop Grounds|WiFi|CCTV,33.0804,75.1366,govtpolytechnicudhampur@gmail.com,01992-270170,NA
Doda,Govt Degree College Doda,BA|B.Sc|B.Com|BCA,60 per branch,₹7,000,Yes,Hostel|Smart Classrooms|Labs|Library|Sports,33.1375,75.5647,principalgdcdo@yahoo.in,9419168898,https://gdcdoda.in
Doda,Govt Degree College Bhaderwah,BA|B.Sc|B.Com|BCA,60 per branch,₹7,000,Yes,Hostel|Smart Classrooms|Labs|Library|Sports,32.9823,75.7972,principalgdcbhaderwah@gmail.com,9419175805,https://gdcbhaderwah.edu.in
Doda,Govt Degree College Thathri,BA|B.Sc|B.Com,30-60 per branch,₹7,000,Yes,Hostel|Library|Labs,33.1195,75.3136,principal.thathri@gmail.com,NA,NA
Doda,Govt Degree College Kastigarh,BA|B.Sc,30 per branch,₹7,000,Yes,Hostel|Basic Lab|Library,33.239,75.506,gdckastigarh01@gmail.com,9419141345,NA
Doda,Govt Degree College Kilhotran,BA|B.Sc,30 per branch,₹7,000,Yes,Hostel|Library,33.2086,75.5792,gdckilhotran@yahoo.com,9419936030,NA
Doda,Govt Medical College Doda,MBBS,100,₹1,18,000,Yes (M/F),Hospital Campus|Hostel|Labs|Library,33.1355,75.5632,NA,NA,https://gmcdoda.jk.gov.in
